cve/data_type,cve/data_format,cve/data_version,cve/CVE_data_meta/ID,cve/CVE_data_meta/ASSIGNER,cve/references/reference_data/0/url,cve/references/reference_data/0/name,cve/references/reference_data/0/refsource,cve/references/reference_data/1/url,cve/references/reference_data/1/name,cve/references/reference_data/1/refsource,cve/description/0/description_data/0/lang,cve/description/0/description_data/0/value,configurations/CVE_data_version,publishedDate,lastModifiedDate,cve/references/reference_data/2/url,cve/references/reference_data/2/name,cve/references/reference_data/2/refsource,cve/references/reference_data/3/url,cve/references/reference_data/3/name,cve/references/reference_data/3/refsource,cve/references/reference_data/0/tags/0,cve/references/reference_data/1/tags/0,cve/problemtype/problemtype_data/0/description/0/lang,cve/problemtype/problemtype_data/0/description/0/value,cve/problemtype/problemtype_data/0/description/1/lang,cve/problemtype/problemtype_data/0/description/1/value,cve/references/reference_data/4/url,cve/references/reference_data/4/name,cve/references/reference_data/4/refsource,cve/references/reference_data/5/url,cve/references/reference_data/5/name,cve/references/reference_data/5/refsource,cve/references/reference_data/0/tags/1,configurations/nodes/0/operator,configurations/nodes/0/cpe_match/0/vulnerable,configurations/nodes/0/cpe_match/0/cpe23Uri,impact/baseMetricV3/cvssV3/version,impact/baseMetricV3/cvssV3/vectorString,impact/baseMetricV3/cvssV3/attackVector,impact/baseMetricV3/cvssV3/attackComplexity,impact/baseMetricV3/cvssV3/privilegesRequired,impact/baseMetricV3/cvssV3/userInteraction,impact/baseMetricV3/cvssV3/scope,impact/baseMetricV3/cvssV3/confidentialityImpact,impact/baseMetricV3/cvssV3/integrityImpact,impact/baseMetricV3/cvssV3/availabilityImpact,impact/baseMetricV3/cvssV3/baseScore,impact/baseMetricV3/cvssV3/baseSeverity,impact/baseMetricV3/exploitabilityScore,impact/baseMetricV3/impactScore,impact/baseMetricV2/cvssV2/version,impact/baseMetricV2/cvssV2/vectorString,impact/baseMetricV2/cvssV2/accessVector,impact/baseMetricV2/cvssV2/accessComplexity,impact/baseMetricV2/cvssV2/authentication,impact/baseMetricV2/cvssV2/confidentialityImpact,impact/baseMetricV2/cvssV2/integrityImpact,impact/baseMetricV2/cvssV2/availabilityImpact,impact/baseMetricV2/cvssV2/baseScore,impact/baseMetricV2/severity,impact/baseMetricV2/exploitabilityScore,impact/baseMetricV2/impactScore,impact/baseMetricV2/acInsufInfo,impact/baseMetricV2/obtainAllPrivilege,impact/baseMetricV2/obtainUserPrivilege,impact/baseMetricV2/obtainOtherPrivilege,impact/baseMetricV2/userInteractionRequired,cve/references/reference_data/0/tags/2,cve/references/reference_data/1/tags/1,cve/references/reference_data/2/tags/0,cve/references/reference_data/2/tags/1,configurations/nodes/0/cpe_match/0/versionEndIncluding
CVE,MITRE,4.0,CVE-2021-29741,psirt@us.ibm.com,https://www.ibm.com/support/pages/node/6477018,https://www.ibm.com/support/pages/node/6477018,CONFIRM,https://exchange.xforce.ibmcloud.com/vulnerabilities/201478,ibm-aix-cve202129741-priv-escalation (201478),XF,en,"IBM AIX 7.1, 7.2, and VIOS 3.1 could allow a local user to exploit a vulnerability in Korn Shell (ksh) to gain root privileges.  IBM X-Force ID:  201478.",4.0,2021-08-02T15:15Z,2021-08-02T15:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37840,cve@mitre.org,https://github.com/aaPanel/aaPanel/issues/74,https://github.com/aaPanel/aaPanel/issues/74,MISC,https://ssd-disclosure.com/ssd-advisory-aapanel-cswh-to-rce/,https://ssd-disclosure.com/ssd-advisory-aapanel-cswh-to-rce/,MISC,en,"aaPanel through 6.8.12 allows Cross-Site WebSocket Hijacking (CSWH) involving OS commands within WebSocket messages at a ws:// URL for /webssh (the victim must have configured Terminal with at least one host). Successful exploitation depends on the browser used by a potential victim (e.g., exploitation can occur with Firefox but not Chrome).",4.0,2021-08-02T14:15Z,2021-08-02T15:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37167,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,"An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. A user logged in using the default credentials can gain root access to the device, which provides permissions for all of the functionality of the device.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37167-bulletin---privilege-escalation.pdf?rev=20c909e5f00048838620b52471f266fc&hash=F43731C7A882EEBB5CE28DFBC75933D3,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37167-bulletin---privilege-escalation.pdf?rev=20c909e5f00048838620b52471f266fc&hash=F43731C7A882EEBB5CE28DFBC75933D3,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37166,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,"A buffer overflow issue leading to denial of service was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. When HMI3 starts up, it binds a local service to a TCP port on all interfaces of the device, and takes extensive time for the GUI to connect to the TCP socket, allowing the connection to be hijacked by an external attacker.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37166-bulletin---gui-socket-denial-of-service.pdf?rev=05321b2af1064eb2a6d6e6bf77604c6b&hash=40A927FE1153AA980428C93B2EF7EB40,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37166-bulletin---gui-socket-denial-of-service.pdf?rev=05321b2af1064eb2a6d6e6bf77604c6b&hash=40A927FE1153AA980428C93B2EF7EB40,MISC,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37164,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,"A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. In the tcpTxThread function, the received data is copied to a stack buffer. An off-by-3 condition can occur, resulting in a stack-based buffer overflow.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37164-bulletin---off-by-three-stack-overflow-in-tcptxthread.pdf?rev=daf615075c71484c8059c906872a51e6&hash=1FCC1A5D921E231D71E6B95A9AA8B741,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37164-bulletin---off-by-three-stack-overflow-in-tcptxthread.pdf?rev=daf615075c71484c8059c906872a51e6&hash=1FCC1A5D921E231D71E6B95A9AA8B741,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37163,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus operated by released versions of software before Nexus Software 7.2.5.7. The device has two user accounts with passwords that are hardcoded.,4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37163-bulletin---default-credentials-for-the-telnet-server.pdf?rev=da64c389a475494985b9fd2c2c508542&hash=466A7109AF08EBFF3756B2C25968ED5E,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37163-bulletin---default-credentials-for-the-telnet-server.pdf?rev=da64c389a475494985b9fd2c2c508542&hash=466A7109AF08EBFF3756B2C25968ED5E,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37162,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37162-bulletin---overflow-in-sccprocessmsg.pdf?rev=55a2a1d76199435688a8479970fc54bf&hash=4FDAB2F0EB319F0B773500669D67F3AD,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37162-bulletin---overflow-in-sccprocessmsg.pdf?rev=55a2a1d76199435688a8479970fc54bf&hash=4FDAB2F0EB319F0B773500669D67F3AD,MISC,en,"A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. If an attacker sends a malformed UDP message, a buffer underflow occurs, leading to an out-of-bounds copy and possible remote code execution.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37161,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,"A buffer overflow issue was discovered in the HMI3 Control Panel contained within the Swisslog Healthcare Nexus Panel, operated by released versions of software before Nexus Software 7.2.5.7. A buffer overflow allows an attacker to overwrite an internal queue data structure and can lead to remote code execution.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37161-bulletin---underflow-in-udprxthread.pdf?rev=9395dad86d0b4811ae4a9e37f0568c2e&hash=3D8571C7A3DCC8B7D8DCB89C2DA4BB8D,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37161-bulletin---underflow-in-udprxthread.pdf?rev=9395dad86d0b4811ae4a9e37f0568c2e&hash=3D8571C7A3DCC8B7D8DCB89C2DA4BB8D,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-37160,cve@mitre.org,"https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20","https://www.swisslog-healthcare.com/en-us/customer-care/security-information/cve-disclosures#:~:text=CVE%20Disclosures%20%20%20%20Vulnerability%20Name%20,%20%20CVE-2021-37164%20%204%20more%20rows%20",MISC,https://www.armis.com/PwnedPiper,https://www.armis.com/PwnedPiper,MISC,en,"A firmware validation issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. There is no firmware validation (e.g., cryptographic signature validation) during a File Upload for a firmware update.",4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,https://www.swisslog-healthcare.com,https://www.swisslog-healthcare.com,MISC,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37160-bulletin---no-firmware-update-validation.pdf?rev=c7f94647037c4007992e2e626d445561&hash=E89531490070A809FB74994018BA1248,https://www.swisslog-healthcare.com/-/media/swisslog-healthcare/documents/customer-service/armis-documents/cve-2021-37160-bulletin---no-firmware-update-validation.pdf?rev=c7f94647037c4007992e2e626d445561&hash=E89531490070A809FB74994018BA1248,MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,MITRE,4.0,CVE-2021-20332,cna@mongodb.com,https://jira.mongodb.org/browse/RUST-591,https://jira.mongodb.org/browse/RUST-591,MISC,,,,en,Specific MongoDB Rust Driver versions can include credentials used by the connection pool to authenticate connections in the monitoring event that is emitted when the pool is created. The user's logging infrastructure could then potentially ingest these events and unexpectedly leak the credentials. Note that such monitoring is not enabled by default.,4.0,2021-08-02T13:15Z,2021-08-02T15:06Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
